Date,Price,Open,High,Low,Vol.,Change %
01/01/2014,"29,542","29,435","29,598","29,340",2.93K,0.25%
01/02/2014,"29,975","29,678","30,050","29,678",3.14K,1.47%
01/03/2014,"29,727","30,031","30,125","29,539",3.05K,-0.83%
01/04/2014,"29,279","29,279","29,279","29,279",,-1.51%
01/06/2014,"29,119","29,300","29,395","29,051",24.38K,-0.55%
01/07/2014,"28,959","29,130","29,195","28,912",18.71K,-0.55%
01/08/2014,"28,934","28,916","29,029","28,820",18.14K,-0.09%
01/09/2014,"28,997","28,990","29,053","28,865",15.13K,0.22%
01/10/2014,"29,169","29,030","29,198","28,960",15.81K,0.59%
01/13/2014,"29,312","29,170","29,330","29,133",13.78K,0.49%
01/14/2014,"29,198","29,289","29,390","29,155",10.60K,-0.39%
01/15/2014,"29,150","29,161","29,180","29,002",13.98K,-0.16%
01/16/2014,"29,168","29,165","29,250","29,090",12.58K,0.06%
01/17/2014,"29,385","29,132","29,415","29,054",17.64K,0.74%
01/20/2014,"29,414","29,410","29,499","29,392",9.44K,0.10%
01/21/2014,"29,362","29,392","29,411","29,256",18.21K,-0.18%
01/22/2014,"29,269","29,354","29,426","29,234",14.90K,-0.32%
01/23/2014,"29,394","29,230","29,468","29,116",30.84K,0.43%
01/24/2014,"29,574","29,399","29,696","29,345",20.39K,0.61%
01/27/2014,"29,905","29,682","29,929","29,682",22.12K,1.12%
01/28/2014,"29,628","29,871","29,871","29,586",18.13K,-0.93%
01/29/2014,"29,835","29,570","29,890","29,479",18.14K,0.70%
01/30/2014,"29,499","29,849","29,913","29,470",15.91K,-1.13%
01/31/2014,"29,482","29,481","29,679","29,355",15.20K,-0.06%
02/03/2014,"29,789","29,502","29,850","29,402",11.76K,1.04%
02/04/2014,"29,534","29,722","29,821","29,520",3.16K,-0.86%
02/05/2014,"29,719","29,515","30,100","29,515",4.49K,0.63%
02/06/2014,"29,231","29,273","29,448","29,211",18.56K,-1.64%
02/07/2014,"29,310","29,259","29,440","29,259",14.62K,0.27%
02/10/2014,"29,471","29,349","29,549","29,349",11.91K,0.55%
02/11/2014,"29,670","29,500","29,700","29,500",14.74K,0.68%
02/12/2014,"29,698","29,650","29,724","29,580",10.77K,0.09%
02/13/2014,"29,726","29,660","29,748","29,605",12.47K,0.09%
02/14/2014,"29,932","29,750","29,949","29,750",11.85K,0.69%
02/17/2014,"30,664","29,978","30,731","29,970",27.80K,2.45%
02/18/2014,"30,766","30,600","30,790","30,511",18.18K,0.33%
02/19/2014,"30,712","30,686","30,865","30,405",20.72K,-0.18%
02/20/2014,"30,608","30,680","30,680","30,507",12.46K,-0.34%
02/21/2014,"30,677","30,590","30,749","30,522",12.33K,0.23%
02/24/2014,"30,927","30,633","30,975","30,633",12.90K,0.81%
02/25/2014,"30,972","30,929","30,999","30,817",12.76K,0.15%
02/26/2014,"30,810","30,951","30,969","30,677",14.74K,-0.52%
02/27/2014,"30,839","30,884","30,917","30,788",4.41K,0.09%
02/28/2014,"30,634","30,820","30,895","30,567",16.20K,-0.66%
03/03/2014,"32,051","30,700","32,279","30,700",5.67K,4.63%
03/04/2014,"31,126","31,500","32,379","31,090",1.31K,-2.89%
03/05/2014,"32,351","31,200","32,500","30,770",1.49K,3.94%
03/06/2014,"30,416","30,350","30,446","30,105",21.50K,-5.98%
03/07/2014,"30,307","30,361","30,514","30,130",19.38K,-0.36%
03/10/2014,"30,327","30,253","30,350","30,145",13.50K,0.07%
03/11/2014,"30,421","30,301","30,515","30,166",23.17K,0.31%
03/12/2014,"30,627","30,468","30,690","30,468",19.02K,0.68%
03/13/2014,"30,697","30,677","30,735","30,492",15.38K,0.23%
03/14/2014,"30,719","30,730","30,849","30,610",19.04K,0.07%
03/17/2014,"30,557","30,699","30,710","30,525",5.19K,-0.53%
03/18/2014,"30,389","30,511","30,511","30,311",15.94K,-0.55%
03/19/2014,"30,169","30,392","30,416","30,122",13.68K,-0.72%
03/20/2014,"29,924","30,110","30,168","29,885",14.01K,-0.81%
03/21/2014,"29,850","29,893","30,038","29,817",11.96K,-0.25%
03/24/2014,"29,182","29,810","29,810","29,141",18.00K,-2.24%
03/25/2014,"28,971","29,230","29,317","28,931",20.33K,-0.72%
03/26/2014,"28,595","29,020","29,043","28,335",16.65K,-1.30%
03/27/2014,"28,521","28,631","28,740","28,351",17.23K,-0.26%
03/28/2014,"28,434","28,488","28,630","28,213",18.09K,-0.31%
03/31/2014,"28,470","28,427","28,778","28,340",12.65K,0.13%
04/01/2014,"28,116","28,432","28,507","28,058",8.84K,-1.24%
04/02/2014,"28,404","28,035","28,470","27,361",0.48K,1.02%
04/03/2014,"28,460","28,500","28,699","28,365",0.11K,0.20%
04/04/2014,"28,519","28,400","28,885","28,400",0.19K,0.21%
04/05/2014,"28,549","28,549","28,549","28,549",,0.11%
